FSCS Key,Library Name,Economic Tier,Library Type,K-12 Schools,Higher Education,Local Employment Office,Health & Human Services,Parks & Recreation,Other Local Government,Economic Development Orgs,Local Businesses,Local Health Orgs,Faith Organizations,Agricultural/Environmental Orgs,Youth Organizations,Adult Organizations
NC0103,ALAMANCE COUNTY PUBLIC LIBRARIES,2,County,Cooperative,Communicative,Communicative,Cooperative,Cooperative,Communicative,Communicative,Cooperative,Communicative,Communicative,Communicative,Communicative,Communicative
NC0001,ALBEMARLE REGIONAL LIBRARY,1,Regional,Communicative,Collaborative,Communicative,Communicative,Communicative,Cooperative,Cooperative,Communicative,Cooperative,Communicative,Communicative,Communicative,Communicative
NC0016,ALEXANDER COUNTY LIBRARY,1,County,Communicative,Communicative,,Communicative,Communicative,Communicative,Communicative,Communicative,Communicative,Communicative,Communicative,Communicative,Communicative
NC0002,APPALACHIAN REGIONAL LIBRARY,2,Regional,Collaborative,Collaborative,Communicative,Communicative,Cooperative,Collaborative,Collaborative,Cooperative,Collaborative,Communicative,Collaborative,Collaborative,Collaborative
NC0003,AVERY-MITCHELL-YANCEY REGIONAL LIBRARY,2,Regional,Collaborative,Communicative,Communicative,Collaborative,Cooperative,Cooperative,Cooperative,Cooperative,Cooperative,Collaborative,Cooperative,Collaborative,Cooperative
NC0004,BEAUFORT-HYDE-MARTIN REGIONAL LIBRARY,2,Regional,Communicative,Collaborative,Collaborative,,,Collaborative,Communicative,Collaborative,Communicative,Communicative,,Collaborative,Communicative
NC0017,BLADEN COUNTY PUBLIC LIBRARY,1,County,Communicative,,,Collaborative,,Communicative,,,,,,,
NC0046,BRASWELL MEMORIAL PUBLIC LIBRARY,1,County,Communicative,,,,Collaborative,Communicative,Communicative,Communicative,,Collaborative,Collaborative,Collaborative,Communicative
NC0018,BRUNSWICK COUNTY LIBRARY,2,County,Communicative,Communicative,Collaborative,Communicative,Collaborative,Collaborative,Communicative,Communicative,Communicative,Communicative,Communicative,Communicative,Communicative
NC0019,BUNCOMBE COUNTY PUBLIC LIBRARIES,2,County,Collaborative,Collaborative,Communicative,Collaborative,Collaborative,Collaborative,Communicative,Collaborative,Cooperative,Collaborative,Collaborative,Collaborative,Collaborative
NC0020,BURKE COUNTY PUBLIC LIBRARY,1,County,Cooperative,Cooperative,Communicative,Cooperative,Collaborative,Cooperative,Communicative,Cooperative,Cooperative,Cooperative,Cooperative,Collaborative,Collaborative
NC0021,CABARRUS COUNTY PUBLIC LIBRARY,3,County,Collaborative,Communicative,Communicative,Collaborative,Collaborative,Collaborative,Communicative,Cooperative,Collaborative,Communicative,Collaborative,Collaborative,Collaborative
NC0022,CALDWELL COUNTY PUBLIC LIBRARY,1,County,Communicative,Communicative,Cooperative,Collaborative,Communicative,Cooperative,Cooperative,Cooperative,Cooperative,Communicative,Cooperative,Communicative,Cooperative
NC0107,CASWELL COUNTY PUBLIC LIBRARY,1,County,Collaborative,Collaborative,Collaborative,Collaborative,Cooperative,,Collaborative,Cooperative,,Cooperative,Cooperative,Cooperative,Cooperative
NC0023,CATAWBA COUNTY LIBRARY,2,County,Collaborative,Collaborative,Collaborative,Collaborative,Collaborative,Collaborative,Collaborative,Collaborative,Collaborative,Collaborative,Collaborative,Collaborative,Collaborative
NC0071,CHAPEL HILL PUBLIC LIBRARY,3,Municipal,Collaborative,Collaborative,,Cooperative,Collaborative,Collaborative,Cooperative,Collaborative,Collaborative,Cooperative,Cooperative,Cooperative,Collaborative
NC0045,CHARLOTTE MECKLENBURG LIBRARY,3,County,Collaborative,Cooperative,Communicative,Communicative,Communicative,Cooperative,Communicative,Cooperative,Cooperative,Cooperative,Communicative,Cooperative,Cooperative
NC0104,CHATHAM COUNTY PUBLIC LIBRARIES,3,County,Collaborative,Collaborative,,Collaborative,,Collaborative,Cooperative,Communicative,Communicative,Communicative,Communicative,Communicative,Communicative
NC0024,CLEVELAND COUNTY MEMORIAL LIBRARY,1,County,Collaborative,Cooperative,Collaborative,Collaborative,Collaborative,Collaborative,,Collaborative,,,Collaborative,,
NC0025,COLUMBUS COUNTY PUBLIC LIBRARY,1,County,Collaborative,Cooperative,Collaborative,Cooperative,Cooperative,Collaborative,Communicative,Communicative,Cooperative,Communicative,Communicative,Cooperative,Communicative
NC0006,CRAVEN-PAMLICO REGIONAL LIBRARY,2,Regional,Collaborative,Collaborative,Cooperative,Cooperative,Cooperative,Collaborative,Cooperative,Cooperative,Cooperative,Cooperative,Collaborative,Collaborative,Collaborative
NC0026,CUMBERLAND COUNTY PUBLIC LIBRARY & INFORMATION CENTER,1,County,Communicative,Communicative,Communicative,Communicative,Cooperative,Communicative,Communicative,Communicative,Communicative,Communicative,Communicative,Communicative,Communicative
NC0027,DAVIDSON COUNTY PUBLIC LIBRARY SYSTEM,2,County,Cooperative,,,Cooperative,Communicative,Cooperative,Communicative,Communicative,Cooperative,Cooperative,Cooperative,Collaborative,Collaborative
NC0028,DAVIE COUNTY PUBLIC LIBRARY,2,County,Collaborative,Communicative,Communicative,Collaborative,Collaborative,Collaborative,Collaborative,Cooperative,Cooperative,Cooperative,,Communicative,Communicative
NC0029,DUPLIN COUNTY LIBRARY,1,County,Cooperative,Cooperative,Communicative,Cooperative,Cooperative,Cooperative,Cooperative,Cooperative,Cooperative,Communicative,Cooperative,,Cooperative
NC0030,DURHAM COUNTY LIBRARY,3,County,Collaborative,Cooperative,Communicative,Collaborative,Collaborative,Collaborative,Communicative,Cooperative,Cooperative,Communicative,Communicative,Collaborative,Collaborative
NC0007,EAST ALBEMARLE REGIONAL LIBRARY,2,Regional,Cooperative,,Collaborative,Communicative,Communicative,Collaborative,Communicative,Communicative,Communicative,Communicative,Cooperative,Collaborative,Cooperative
NC0031,EDGECOMBE COUNTY MEMORIAL LIBRARY,1,County,Collaborative,Cooperative,Cooperative,Cooperative,Collaborative,Collaborative,Collaborative,Communicative,Cooperative,Cooperative,Cooperative,Collaborative,Collaborative
NC0075,FARMVILLE PUBLIC LIBRARY,1,Municipal,Cooperative,Collaborative,,Cooperative,Collaborative,Collaborative,Cooperative,Cooperative,Cooperative,Communicative,Cooperative,Cooperative,Cooperative
NC0008,FONTANA REGIONAL LIBRARY,2,Regional,Collaborative,Collaborative,Collaborative,Cooperative,Cooperative,Collaborative,Collaborative,Cooperative,Communicative,Cooperative,Collaborative,Collaborative,Collaborative
NC0032,FORSYTH COUNTY PUBLIC LIBRARY,2,County,Cooperative,Communicative,,Collaborative,Communicative,Collaborative,Communicative,Communicative,Communicative,Communicative,Collaborative,Communicative,Communicative
NC0033,FRANKLIN COUNTY LIBRARY,2,County,Cooperative,,Communicative,Cooperative,Cooperative,Cooperative,Communicative,,,Communicative,Communicative,Cooperative,Cooperative
NC0105,GASTON COUNTY PUBLIC LIBRARY,2,County,Cooperative,Cooperative,Collaborative,Collaborative,Collaborative,Collaborative,Communicative,Collaborative,Cooperative,Cooperative,Cooperative,Collaborative,Cooperative
NC0099,GEORGE H. AND LAURA E. BROWN PUBLIC LIBRARY,1,Municipal,Cooperative,Cooperative,,Cooperative,Collaborative,Collaborative,Cooperative,Cooperative,Cooperative,Cooperative,Cooperative,Cooperative,Cooperative
NC0111,GIBSONVILLE PUBLIC LIBRARY,2,Municipal,Communicative,,,,Cooperative,Cooperative,Cooperative,Cooperative,,Cooperative,Communicative,Cooperative,Cooperative
NC0034,GRANVILLE COUNTY LIBRARY SYSTEM,2,County,Collaborative,,,Cooperative,,Collaborative,Communicative,Cooperative,Collaborative,Cooperative,Collaborative,Collaborative,Collaborative
NC0035,GREENSBORO PUBLIC LIBRARY,2,County,Communicative,Collaborative,Collaborative,Communicative,Collaborative,Collaborative,Cooperative,Cooperative,Cooperative,Communicative,Collaborative,Collaborative,Cooperative
NC0036,HALIFAX COUNTY LIBRARY SYSTEM,1,County,Cooperative,Cooperative,Cooperative,Cooperative,Cooperative,Cooperative,Cooperative,Cooperative,Cooperative,Cooperative,Cooperative,Cooperative,Cooperative
NC0037,HARNETT COUNTY PUBLIC LIBRARY,2,County,Cooperative,Communicative,Communicative,Communicative,Collaborative,Collaborative,Communicative,Communicative,Communicative,Communicative,Cooperative,Cooperative,Cooperative
NC0102,HAROLD D. COOLEY LIBRARY,1,Municipal,Communicative,,,,Collaborative,,Communicative,,,,,Collaborative,Collaborative
NC0038,HAYWOOD COUNTY PUBLIC LIBRARY,2,County,Cooperative,Collaborative,Collaborative,Collaborative,Cooperative,Collaborative,Cooperative,Collaborative,Collaborative,Collaborative,Collaborative,Collaborative,Collaborative
NC0039,HENDERSON COUNTY PUBLIC LIBRARY,3,County,Cooperative,Cooperative,Communicative,Cooperative,Collaborative,Cooperative,Communicative,,Communicative,,,Cooperative,Cooperative
NC0079,HICKORY PUBLIC LIBRARY,2,Municipal,Collaborative,Cooperative,Communicative,Communicative,Collaborative,Collaborative,Communicative,Cooperative,Communicative,Collaborative,Collaborative,Collaborative,Collaborative
NC0080,HIGH POINT PUBLIC LIBRARY,2,Municipal,Cooperative,Communicative,Cooperative,Cooperative,Collaborative,Cooperative,Cooperative,Communicative,Cooperative,Communicative,Cooperative,Cooperative,Cooperative
NC0110,HOCUTT ELLINGTON MEMORIAL LIBRARY,3,Municipal,Collaborative,Communicative,Communicative,Communicative,Collaborative,Collaborative,Collaborative,Collaborative,Communicative,Communicative,Communicative,Collaborative,Collaborative
NC0040,IREDELL COUNTY LIBRARY,3,County,Collaborative,Cooperative,Collaborative,Cooperative,Collaborative,Collaborative,Communicative,Communicative,Collaborative,,Collaborative,Collaborative,Collaborative
NC0100,JACOB MAUNEY MEMORIAL LIBRARY,1,Municipal,Collaborative,Communicative,Communicative,Communicative,Cooperative,Collaborative,Communicative,Communicative,Communicative,Communicative,Collaborative,Collaborative,Collaborative
NC0042,LEE COUNTY LIBRARY,2,County,Communicative,Communicative,,Collaborative,Collaborative,Collaborative,Cooperative,Cooperative,Communicative,Communicative,Cooperative,Collaborative,Cooperative
NC0106,LINCOLN COUNTY PUBLIC LIBRARY,3,County,Collaborative,Collaborative,Collaborative,Collaborative,Collaborative,Collaborative,Cooperative,Cooperative,Cooperative,Cooperative,Collaborative,Cooperative,Cooperative
NC0043,MADISON COUNTY PUBLIC LIBRARY,2,County,Cooperative,Communicative,Communicative,Cooperative,Cooperative,Communicative,Communicative,Communicative,,,Cooperative,Communicative,Communicative
NC0044,MCDOWELL COUNTY PUBLIC LIBRARY,2,County,Cooperative,Communicative,Communicative,Cooperative,Cooperative,Communicative,Communicative,Communicative,Communicative,Communicative,Communicative,Communicative,Communicative
NC0083,MOORESVILLE PUBLIC LIBRARY,3,Municipal,Collaborative,Communicative,,Communicative,Collaborative,Collaborative,Communicative,Communicative,Communicative,Cooperative,,Communicative,Communicative
NC0011,NANTAHALA REGIONAL LIBRARY,1,Regional,Communicative,,,Communicative,Communicative,Collaborative,Communicative,Cooperative,Collaborative,Collaborative,Collaborative,Collaborative,Collaborative
NC0012,NEUSE REGIONAL LIBRARY,1,Regional,Collaborative,Collaborative,Collaborative,Collaborative,Collaborative,Cooperative,Cooperative,Cooperative,Collaborative,Cooperative,Cooperative,Collaborative,Cooperative
NC0047,NEW HANOVER COUNTY PUBLIC LIBRARY,3,County,Cooperative,Communicative,Communicative,Collaborative,Collaborative,Collaborative,Communicative,Communicative,Communicative,,Cooperative,Cooperative,Cooperative
NC0013,NORTHWESTERN REGIONAL LIBRARY,2,Regional,Collaborative,Collaborative,Collaborative,Collaborative,Collaborative,Collaborative,Collaborative,Collaborative,Collaborative,Collaborative,Collaborative,Collaborative,Collaborative
NC0048,ONSLOW COUNTY PUBLIC LIBRARY,1,County,Collaborative,Cooperative,Communicative,Collaborative,Collaborative,Collaborative,Communicative,Cooperative,Cooperative,Communicative,Collaborative,Collaborative,Collaborative
NC0108,ORANGE COUNTY PUBLIC LIBRARY,3,County,Cooperative,,,Collaborative,Communicative,Collaborative,Cooperative,Communicative,Cooperative,Communicative,Communicative,Cooperative,Cooperative
NC0049,PENDER COUNTY PUBLIC LIBRARY,3,County,Collaborative,,Collaborative,Communicative,Communicative,Communicative,,,Cooperative,,,Communicative,Collaborative
NC0062,H. LESLIE PERRY MEMORIAL LIBRARY,1,County,Communicative,Communicative,,Cooperative,Cooperative,Cooperative,Communicative,Cooperative,Cooperative,Communicative,Cooperative,Cooperative,Cooperative
NC0109,PERSON COUNTY PUBLIC LIBRARY,2,County,Cooperative,Collaborative,Cooperative,Cooperative,Collaborative,Cooperative,Cooperative,Collaborative,Cooperative,Cooperative,Collaborative,Collaborative,Collaborative
NC0014,PETTIGREW REGIONAL LIBRARY,1,Regional,Communicative,,,,,Cooperative,,,Cooperative,,,,
NC0051,POLK COUNTY PUBLIC LIBRARIES,2,County,Collaborative,Cooperative,Collaborative,Collaborative,Collaborative,Collaborative,Communicative,Communicative,Collaborative,Communicative,Cooperative,Collaborative,Collaborative
NC0041,PUBLIC LIBRARY OF JOHNSTON COUNTY & SMITHFIELD,3,County,Communicative,Communicative,Communicative,Communicative,Communicative,Communicative,Communicative,Communicative,Communicative,Communicative,Communicative,Communicative,Communicative
NC0052,RANDOLPH PUBLIC LIBRARY,1,County,Cooperative,Communicative,Communicative,Communicative,Cooperative,Communicative,Communicative,Cooperative,Communicative,Communicative,Cooperative,Collaborative,Cooperative
NC0088,ROANOKE RAPIDS PUBLIC LIBRARY,1,Municipal,Collaborative,,,Communicative,Collaborative,Collaborative,,Communicative,Cooperative,Communicative,Communicative,,
NC0053,ROBESON COUNTY PUBLIC LIBRARY,1,County,Communicative,Communicative,,Cooperative,Cooperative,,Communicative,Cooperative,Cooperative,Communicative,,Cooperative,Communicative
NC0054,ROCKINGHAM COUNTY PUBLIC LIBRARY,1,County,Collaborative,,,Collaborative,,Collaborative,,,,,,,
NC0055,ROWAN PUBLIC LIBRARY,1,County,Communicative,Communicative,Communicative,Communicative,Communicative,Collaborative,Cooperative,Collaborative,Communicative,Communicative,Communicative,Communicative,Collaborative
NC0056,RUTHERFORD COUNTY LIBRARY,1,County,Communicative,Communicative,Communicative,Cooperative,Communicative,Cooperative,Cooperative,Cooperative,Cooperative,Communicative,Cooperative,Cooperative,Communicative
NC0057,SAMPSON-CLINTON PUBLIC LIBRARY,1,County,Collaborative,,,,,Communicative,,Cooperative,,,,Cooperative,Collaborative
NC0015,SANDHILL REGIONAL LIBRARY SYSTEM,2,Regional,Collaborative,Communicative,Communicative,Cooperative,Communicative,Communicative,Communicative,Communicative,Communicative,Communicative,Communicative,Communicative,Communicative
NC0058,SCOTLAND COUNTY MEMORIAL LIBRARY,1,County,Cooperative,,,Collaborative,Cooperative,Cooperative,Cooperative,Communicative,Communicative,Cooperative,Communicative,Cooperative,Cooperative
NC0050,SHEPPARD MEMORIAL LIBRARY,1,County,Cooperative,Cooperative,,Cooperative,Cooperative,Cooperative,Cooperative,Cooperative,Cooperative,,,Collaborative,
NC0093,SOUTHERN PINES PUBLIC LIBRARY,3,Municipal,Communicative,Communicative,Communicative,,Cooperative,Cooperative,Communicative,Communicative,Communicative,Communicative,Communicative,Communicative,Communicative
NC0059,STANLY COUNTY PUBLIC LIBRARY,2,County,Cooperative,Communicative,Communicative,Cooperative,Communicative,Cooperative,Communicative,Cooperative,Communicative,Communicative,,Cooperative,Cooperative
NC0060,TRANSYLVANIA COUNTY LIBRARY,3,County,Collaborative,Collaborative,Cooperative,Collaborative,Cooperative,Cooperative,Cooperative,Cooperative,Collaborative,Communicative,Collaborative,Collaborative,Cooperative
NC0061,UNION COUNTY PUBLIC LIBRARY,3,County,Cooperative,Communicative,Communicative,Communicative,Cooperative,Communicative,Communicative,Communicative,Communicative,Communicative,Cooperative,Cooperative,Cooperative
NC0063,WAKE COUNTY PUBLIC LIBRARIES,3,County,Cooperative,Communicative,,Cooperative,Cooperative,Collaborative,Communicative,Communicative,Cooperative,Communicative,Communicative,Cooperative,Cooperative
NC0101,WARREN COUNTY MEMORIAL LIBRARY,1,County,Cooperative,Communicative,Communicative,Cooperative,Cooperative,Cooperative,Communicative,Communicative,Cooperative,Communicative,Cooperative,Cooperative,Cooperative
NC0065,WAYNE COUNTY PUBLIC LIBRARY,1,County,Cooperative,Collaborative,Cooperative,Cooperative,Collaborative,Collaborative,Communicative,Collaborative,Collaborative,Communicative,Cooperative,Collaborative,Collaborative
NC0066,WILSON COUNTY PUBLIC LIBRARY,1,County,Communicative,Cooperative,Cooperative,Collaborative,Communicative,Communicative,Collaborative,Cooperative,Collaborative,Communicative,Collaborative,Collaborative,Cooperative
