FSCS Key,Library Name,Library Type,Adult Registered Users,Juvenile Registered Users,Total Registered Users,% Population Registered,Library Visits,Visits Per Capita,Meeting Room Use by Outside Groups,Meeting Room Attendance,Reference Transactions,Reference Transactions Per Capita,Reference Transactions Per Staff FTE,Interlibrary Loans Provided,Interlibrary Loans Received
NC0103,ALAMANCE COUNTY PUBLIC LIBRARIES,County,41704,45044,86748,0.5108443,256283,1.50921,50,831,34810,0.20499,704.94127,249,126
NC0001,ALBEMARLE REGIONAL LIBRARY,Regional,31192,9201,40393,0.6259957,69494,1.07699,171,775,31145,0.48267,1223.29144,0,0
NC0016,ALEXANDER COUNTY LIBRARY,County,5597,2287,7884,0.2170406,29337,0.80763,-1,-1,450,0.01239,40.65041,4036,4206
NC0002,APPALACHIAN REGIONAL LIBRARY,Regional,52943,41254,94197,0.6413587,225446,1.53499,764,4187,25272,0.17207,531.14754,28170,17038
NC0003,AVERY-MITCHELL-YANCEY REGIONAL LIBRARY,Regional,35602,8113,43715,0.8512482,48900,0.95221,-1,-1,27400,0.53355,1712.5,6345,7602
NC0004,BEAUFORT-HYDE-MARTIN REGIONAL LIBRARY,Regional,5447,12208,17655,0.2892745,59975,0.98268,268,1330,7535,0.12346,426.91218,3552,4501
NC0017,BLADEN COUNTY PUBLIC LIBRARY,County,2498,7216,9714,0.3303857,13980,0.47548,30,423,3766,0.12809,367.05653,2057,2408
NC0046,BRASWELL MEMORIAL PUBLIC LIBRARY,County,23676,37523,61199,0.6819894,90848,1.01239,237,5113,33653,0.37502,979.70888,5819,9328
NC0018,BRUNSWICK COUNTY LIBRARY,County,36058,3940,39998,0.2786346,334915,2.33309,-1,-1,34468,0.24011,1814.10526,23,146
NC0019,BUNCOMBE COUNTY PUBLIC LIBRARIES,County,78344,50400,128744,0.4742756,592342,2.18211,448,8502,61896,0.22802,830.26157,62721,34934
NC0020,BURKE COUNTY PUBLIC LIBRARY,County,10903,3867,14770,0.1683555,49480,0.564,236,2796,19760,0.22523,809.83607,3666,11859
NC0021,CABARRUS COUNTY PUBLIC LIBRARY,County,62747,18845,81592,0.3528608,230748,0.99792,266,1175,50459,0.21822,895.45697,169,186
NC0022,CALDWELL COUNTY PUBLIC LIBRARY,County,14668,4325,18993,0.2350968,163544,2.02436,0,0,14820,0.18344,592.8,8746,13074
NC0113,Carteret County Public Library System,County,24676,19336,44012,0.6445434,101349,1.48423,100,-1,11661,0.17077,451.97674,10684,9409
NC0107,CASWELL COUNTY PUBLIC LIBRARY,County,2855,964,3819,0.1704759,15034,0.6711,243,3029,564,0.02518,74.70199,699,2315
NC0023,CATAWBA COUNTY LIBRARY,County,90406,10891,101297,0.8600819,194639,1.65262,227,9904,34569,0.29351,971.03933,0,140
NC0071,CHAPEL HILL PUBLIC LIBRARY,Municipal,47166,14002,61168,0.9899497,235142,3.80556,5,-1,15964,0.25836,427.98928,0,0
NC0045,CHARLOTTE MECKLENBURG LIBRARY,County,765311,431293,1196604,1.0669846,1525288,1.36006,-1,-1,861224,0.76793,2040.81517,105,1138
NC0104,CHATHAM COUNTY PUBLIC LIBRARIES,County,23600,13448,37048,0.4785327,57829,0.74695,207,2719,13022,0.1682,744.11429,0,155
NC0024,CLEVELAND COUNTY MEMORIAL LIBRARY,County,11891,19136,31027,0.3422838,68483,0.75549,465,5177,33631,0.37101,1747.06494,5484,6503
NC0025,COLUMBUS COUNTY PUBLIC LIBRARY,County,32826,12066,44892,0.8912625,29167,0.57907,12,61,158233,3.14148,6620.62762,0,0
NC0006,CRAVEN-PAMLICO REGIONAL LIBRARY,Regional,31330,37270,68600,0.6000595,154320,1.34987,116,1902,59179,0.51765,2038.54633,0,1
NC0026,CUMBERLAND COUNTY PUBLIC LIBRARY,County,52506,15787,68293,0.1996393,407408,1.19097,789,7890,99405,0.29059,669.25874,26604,34811
NC0027,DAVIDSON COUNTY PUBLIC LIBRARY SYSTEM,County,76114,44228,120342,0.7331489,241874,1.47355,1395,22454,83700,0.50992,1391.28989,36577,36155
NC0028,DAVIE COUNTY PUBLIC LIBRARY,County,5878,11255,17133,0.3958641,52699,1.21763,1180,3940,2547,0.05885,188.80652,3213,4463
NC0029,DUPLIN COUNTY LIBRARY,County,880,254,1134,0.0232596,7709,0.15812,15,-1,7342,0.15059,815.77778,5,485
NC0030,DURHAM COUNTY LIBRARY,County,175318,82737,258055,0.7938395,456312,1.40373,5739,-1,95844,0.29484,609.11344,488,856
NC0007,EAST ALBEMARLE REGIONAL LIBRARY,Regional,44200,24466,68666,0.5800718,143497,1.21222,520,5088,28791,0.24322,641.65367,453,778
NC0031,EDGECOMBE COUNTY MEMORIAL LIBRARY,County,15636,13203,28839,0.5969448,64175,1.32837,181,877,3520,0.07286,502.85714,25,7
NC0075,FARMVILLE PUBLIC LIBRARY,Municipal,3797,41926,45723,10.321219,88336,19.94041,1216,-1,5168,1.16659,1059.01639,1383,1541
NC0008,FONTANA REGIONAL LIBRARY,Regional,25783,16348,42131,0.4470417,251838,2.67219,6441,19811,71277,0.7563,1284.27027,12624,23346
NC0032,FORSYTH COUNTY PUBLIC LIBRARY,County,83659,70729,154388,0.4020845,906953,2.36205,2195,14384,237298,0.61801,2225.01641,499,499
NC0033,FRANKLIN COUNTY LIBRARY,County,8662,14121,22783,0.3198961,33800,0.47459,243,5589,4368,0.06133,291.2,6284,7122
NC0105,GASTON COUNTY PUBLIC LIBRARY,County,49909,46300,96209,0.4153098,387221,1.67153,4,10,119392,0.51538,2040.88889,196,1401
NC0099,GEORGE H. AND LAURA E. BROWN PUBLIC LIBRARY,Municipal,5445,1316,6761,0.6903911,34734,3.54682,30,79,22464,2.29388,2787.09677,2138,3360
NC0111,GIBSONVILLE PUBLIC LIBRARY,Municipal,3938,,3938,0.4319403,17472,1.91642,12,28,2028,0.22244,737.45455,0,334
NC0112,GIVENS MEMORIAL LIBRARY & TUFTS ARCHIVE,MUNICIPAL,7834,1028,8862,0.4903176,19635,1.08637,160,-1,21,0.00116,3.5,0,0
NC0034,GRANVILLE COUNTY LIBRARY SYSTEM,County,8248,2184,10432,0.1705969,103708,1.69596,297,4945,19711,0.32234,1292.52459,5631,9437
NC0035,GREENSBORO PUBLIC LIBRARY,County,226703,159987,386690,0.8992707,781079,1.81645,953,3214,61451,0.14291,611.45274,739,320
NC0036,HALIFAX COUNTY LIBRARY SYSTEM,County,2802,387,3189,0.096295,26501,0.80022,121,505,34133,1.03068,3103,1445,4798
NC0037,HARNETT COUNTY PUBLIC LIBRARY,County,60066,41300,101366,0.7408712,147659,1.07922,1087,3331,30368,0.22196,920.24242,11456,11872
NC0102,HAROLD D. COOLEY LIBRARY,Municipal,2605,328,2933,0.5119567,29120,5.08291,416,832,2132,0.37214,387.63636,1349,1908
NC0038,HAYWOOD COUNTY PUBLIC LIBRARY,County,25585,5055,30640,0.4902792,142786,2.28476,374,4179,37495,0.59997,2205.58824,15658,12022
NC0039,HENDERSON COUNTY PUBLIC LIBRARY,County,40909,28174,69083,0.5919201,301574,2.58396,4625,-1,43404,0.3719,1086.7301,38139,25104
NC0079,HICKORY PUBLIC LIBRARY,Municipal,25251,11548,36799,0.8349556,182922,4.15043,237,1752,62320,1.41402,2225.71429,65,275
NC0080,HIGH POINT PUBLIC LIBRARY,Municipal,65810,103595,169405,1.478306,141241,1.23253,5,58,49485,0.43183,794.93976,1110,756
NC0110,HOCUTT ELLINGTON MEMORIAL LIBRARY,Municipal,3755,449,4204,0.1491415,37914,1.34504,21,212,1363,0.04835,146.55914,0,227
NC0040,IREDELL COUNTY LIBRARY,County,19104,52138,71242,0.5117702,145187,1.04296,14,142,69692,0.50064,2188.13187,15202,14726
NC0100,JACOB MAUNEY MEMORIAL LIBRARY,Municipal,6315,5506,11821,1.0351138,34451,3.01673,-1,-1,0,0,0,2753,3903
NC0042,LEE COUNTY LIBRARY,County,7893,15479,23372,0.3647999,45629,0.7122,114,-1,21640,0.33777,2164,4995,7516
NC0106,LINCOLN COUNTY PUBLIC LIBRARY,County,35712,22655,58367,0.6517375,145830,1.62837,36,543,28593,0.31928,1039.74545,0,1
NC0043,MADISON COUNTY PUBLIC LIBRARY,County,7944,3666,11610,0.5413597,90749,4.23151,1358,6267,14187,0.66152,1504.45387,6297,5786
NC0044,MCDOWELL COUNTY PUBLIC LIBRARY,County,7812,10051,17863,0.399727,93912,2.1015,-1,-1,12387,0.27719,1141.65899,6294,5432
NC0083,MOORESVILLE PUBLIC LIBRARY,Municipal,23668,39482,63150,1.201827,128340,2.44248,58,985,19331,0.36789,583.48928,611,744
NC0011,NANTAHALA REGIONAL LIBRARY,Regional,4629,404,5033,0.1042763,136698,2.83218,437,5723,31220,0.64683,2450.54945,971,4297
NC0012,NEUSE REGIONAL LIBRARY,Regional,19391,24366,43757,0.5198213,164547,1.95477,2531,5831,59849,0.71099,1944.41196,5093,9980
NC0047,NEW HANOVER COUNTY PUBLIC LIBRARY,County,72283,49275,121558,0.5286441,393890,1.71299,524,8504,94674,0.41173,1936.07362,1122,462
NC0013,NORTHWESTERN REGIONAL LIBRARY,Regional,32281,36864,69145,0.4201581,204104,1.24023,2739,22222,126024,0.76578,2615.14837,28630,18582
NC0048,ONSLOW COUNTY PUBLIC LIBRARY,County,33610,5813,39423,0.1908827,229474,1.11109,328,4402,54038,0.26165,1715.49206,17021,10261
NC0108,ORANGE COUNTY PUBLIC LIBRARY,County,19563,32408,51971,0.5820277,79046,0.88524,22,219,11283,0.12636,356.71831,0,0
NC0049,PENDER COUNTY PUBLIC LIBRARY,County,6972,2545,9517,0.1511163,85395,1.35595,230,-1,15286,0.24272,1109.28882,7,95
NC0062,H. LESLIE PERRY MEMORIAL LIBRARY,County,7124,9182,16306,0.3857582,62000,1.46676,351,-1,-1,0,0,1717,5221
NC0109,PERSON COUNTY PUBLIC LIBRARY,County,5907,1106,7013,0.1776073,54965,1.39201,92,1540,10520,0.26642,1250.8918,1199,3837
NC0014,PETTIGREW REGIONAL LIBRARY,Regional,17635,4598,22233,0.5426256,134747,3.28868,423,2322,16836,0.4109,2590.15385,118,35
NC0051,POLK COUNTY PUBLIC LIBRARIES,County,7140,3487,10627,0.5433304,68430,3.49865,464,1621,6214,0.31771,582.92683,12781,7900
NC0041,PUBLIC LIBRARY OF JOHNSTON COUNTY & SMITHFIELD,County,20099,63596,83695,0.4216946,64026,0.32259,527,944,34268,0.17266,1757.33333,10569,12373
NC0052,RANDOLPH PUBLIC LIBRARY,County,90709,49332,140041,0.9655603,186189,1.28374,1100,2090,48222,0.33248,1005.04377,226,98
NC0088,ROANOKE RAPIDS PUBLIC LIBRARY,Municipal,,,,0,8646,0.5727,0,0,7042,0.46645,2347.33333,0,0
NC0053,ROBESON COUNTY PUBLIC LIBRARY,County,8443,2182,10625,0.0912135,66980,0.57501,-1,-1,12481,0.10715,626.24185,4,91
NC0054,ROCKINGHAM COUNTY PUBLIC LIBRARY,County,19386,20999,40385,0.4403747,243965,2.66029,1048,10445,51330,0.55972,1414.04959,11611,17219
NC0055,ROWAN PUBLIC LIBRARY,County,50852,43154,94006,0.6360395,235186,1.59126,254,3789,49359,0.33396,973.74236,300,6
NC0056,RUTHERFORD COUNTY LIBRARY,County,13449,13877,27326,0.4252214,41770,0.64999,163,1342,20116,0.31303,2099.79123,5736,13617
NC0057,SAMPSON-CLINTON PUBLIC LIBRARY,County,10975,7295,18270,0.3095613,27512,0.46615,-1,-1,4316,0.07313,352.9027,922,922
NC0015,SANDHILL REGIONAL LIBRARY SYSTEM,Regional,28711,50970,79681,0.3755969,104625,0.49318,144,1660,53781,0.25351,1201.81006,6197,20723
NC0058,SCOTLAND COUNTY MEMORIAL LIBRARY,County,6562,7236,13798,0.4144539,30855,0.9268,70,674,1596,0.04794,228,2071,3741
NC0050,SHEPPARD MEMORIAL LIBRARY,County,56724,9145,65869,0.3930506,187313,1.11773,148,355,55947,0.33384,1824.16042,0,0
NC0093,SOUTHERN PINES PUBLIC LIBRARY,Municipal,6084,1022,7106,0.4452102,70183,4.39716,4,66,5252,0.32905,486.2963,409,95
NC0059,STANLY COUNTY PUBLIC LIBRARY,County,27388,5614,33002,0.5266921,63845,1.01893,12,221,14688,0.23441,1040.96386,0,0
NC0060,TRANSYLVANIA COUNTY LIBRARY,County,12001,7573,19574,0.586733,128869,3.86286,536,5947,12049,0.36117,649.54178,11345,14723
NC0061,UNION COUNTY PUBLIC LIBRARY,County,91808,98138,189946,0.7818381,270828,1.11476,201,5089,79850,0.32867,1362.86056,0,0
NC0063,WAKE COUNTY PUBLIC LIBRARIES,County,319671,43307,362978,0.315435,1974968,1.71629,0,0,214843,0.1867,850.86337,947,13120
NC0101,WARREN COUNTY MEMORIAL LIBRARY,County,5394,1751,7145,0.3790451,18918,1.00361,128,1498,6304,0.33443,741.64706,0,0
NC0065,WAYNE COUNTY PUBLIC LIBRARY,County,16478,30383,46861,0.3982679,114113,0.96984,130,1196,133951,1.13844,3871.41618,7939,13324
NC0066,WILSON COUNTY PUBLIC LIBRARY,County,24415,5273,29688,0.3779071,84864,1.08026,902,2520,20081,0.25562,616.73833,108,74
