FSCS Key,Library Name,Library Type,Staff Expenditures Per Capita,Expenditures on Salaries & Wages Per FTE,Director Salary,Director Salary Range,Director Year of Appointment,Assistant Director,Mgmt Branch Manager,Mgmt Youth Services,Mgmt Adult Services,Mgmt Technical Services,Mgmt Circulation,Mgmt Library Assistant,Non-Mgmt Youth Services,Non-Mgmt Adult Services,Non-Mgmt Technical Services,Non-Mgmt Circulation,Non-Mgmt Library Assistant,IT Personnel
NC0103,ALAMANCE COUNTY PUBLIC LIBRARIES,County,14.26599,49059.35601,80641,70954-105525,2019,56379,49263,42879,44300,56181,,37908,,,43983,,28356,
NC0001,ALBEMARLE REGIONAL LIBRARY,Regional,13.6613,34623.29144,64575,"64,575-64,575",2020,,33545,,,,,,,,,,20812,38475
NC0016,ALEXANDER COUNTY LIBRARY,County,12.15328,39879.6748,55645,"51,672-73,011",2011,0,32323,,,,,30766,33131,,22993,,11343,
NC0002,APPALACHIAN REGIONAL LIBRARY,Regional,14.03972,43338.10425,74657,"$63,984-$102,375",2013,,53213,42132,41793,36564,37056,29140,37467,36713,,,22422,51389
NC0003,AVERY-MITCHELL-YANCEY REGIONAL LIBRARY,Regional,11.66012,37424.625,54100,,2015,0,29000,32000,0,0,0,0,0,0,0,0,24500,0
NC0004,BEAUFORT-HYDE-MARTIN REGIONAL LIBRARY,Regional,10.21695,35329.23513,54000,,2022,,36440,,,,,35930,,,,,24913,33624
NC0017,BLADEN COUNTY PUBLIC LIBRARY,County,19.20056,55022.90448,56761,"58,000-78,000",2021,55836,33923,,,,,51811,39331,,,,33923,44762
NC0046,BRASWELL MEMORIAL PUBLIC LIBRARY,County,16.93362,44237.40902,86994,,2014,,,59174,47194,50119,47194,,50564,45524,31252,,31481,48000
NC0018,BRUNSWICK COUNTY LIBRARY,County,8.41487,63576.52632,88810,"$79,860-$135,761",2022,0,54371,0,0,0,0,0,0,0,0,0,35860,0
NC0019,BUNCOMBE COUNTY PUBLIC LIBRARIES,County,18.76802,68338.75252,132460,"$104,056-$161,287",2018,,59220,54025,79992.1,64382.32,,,56617.6,56617.6,,,35270,
NC0020,BURKE COUNTY PUBLIC LIBRARY,County,14.91594,53630.7377,100920,71072-110168,2007,59725,,,,,,,45942,50466,,,30170,
NC0021,CABARRUS COUNTY PUBLIC LIBRARY,County,16.42813,67412.17338,100000,"$81,910.40 - $127,649.60",2022,,,,,,,,,,,,,
NC0022,CALDWELL COUNTY PUBLIC LIBRARY,County,14.9303,48247.56,75303,,2020,,50806,50806,50806,50806,47900,47900,50806,50806,50806,47900,37906,
NC0113,Carteret County Public Library System,County,14.58251,38595.03876,70000,68691-106471,2022,,41063,,,37264,,,,,,,,
NC0107,CASWELL COUNTY PUBLIC LIBRARY,County,12.92974,38364.50331,60156,,2010,,,,,,,35000,,,,,35000,
NC0023,CATAWBA COUNTY LIBRARY,County,19.161,63390.61798,95013,"79,633 - 131,394",2020,69360,52636,50301,,55393,42879,39888,,45438,39915,37127,31125,
NC0071,CHAPEL HILL PUBLIC LIBRARY,Municipal,43.76413,72497.10456,148717,126267-202394,2013,102400,,82542,69763,70399,,,69189,66005,,60264,,
NC0045,CHARLOTTE MECKLENBURG LIBRARY,County,26.4651,70332.06398,135506,,2020,101930,79025,73807,79112,81845,0,59257,60242,64359,81845,0,27058,93108
NC0104,CHATHAM COUNTY PUBLIC LIBRARIES,County,14.85996,65740.45714,106579,$75992 - 117789,2001,0,65580,59483,0,0,0,68867,0,0,56649,0,43965,0
NC0024,CLEVELAND COUNTY MEMORIAL LIBRARY,County,9.9926,47054.49351,78000,"67,600 to 98,300",2020,,,,,,,,,,,,,
NC0025,COLUMBUS COUNTY PUBLIC LIBRARY,County,28.44555,59948.70293,70911,"$62,016-$88,595",2002,0,38752,36150,37588,42303,34561,30195,36150,37588,42303,30975,30195,40311
NC0006,CRAVEN-PAMLICO REGIONAL LIBRARY,Regional,11.95821,47092.1805,78719,78719,2019,0,37523,48547,44116,57086,39378,,0,44595,0,0,,28137
NC0026,CUMBERLAND COUNTY PUBLIC LIBRARY,County,22.87265,52678.40167,113300,"$78,684 to $132,425",2021,53334,51672,46231,45619,44739,40249,,41651,41827,40475,,36261,
NC0027,DAVIDSON COUNTY PUBLIC LIBRARY SYSTEM,County,17.27416,47131.79854,74694,"74,694-112,041",2019,49894,52094,,,52094,,,40943,40943,,38946,,
NC0028,DAVIE COUNTY PUBLIC LIBRARY,County,12.83611,41182.13491,66328,"$62,090-$96,240",2019,0,0,,,,,0,43754,42866,53880,37370,33871,0
NC0029,DUPLIN COUNTY LIBRARY,County,7.6438,41407.33333,60952,,2018,0,26013,,,,,,30476,,,,24710,0
NC0030,DURHAM COUNTY LIBRARY,County,27.78523,57401.97013,160656,"103,404 - 175,789",2010,95940,72370,64834,58872,102972,,51243,55083,52189,58968,,44364,62418
NC0007,EAST ALBEMARLE REGIONAL LIBRARY,Regional,19.6888,51942.54513,79635,57662-84445,2011,,41267,,,,,35428,48463,57743,,,31752,
NC0031,EDGECOMBE COUNTY MEMORIAL LIBRARY,County,9.97586,68849.14286,70000,"53,148-70,000",2008,45170,,,,,,30528,,,,,17329,0
NC0075,FARMVILLE PUBLIC LIBRARY,Municipal,66.2851,60172.7459,56659,23955 - 67434,2021,,,,,,,,38709,45397,30618,,,
NC0008,FONTANA REGIONAL LIBRARY,Regional,25.59289,43459.02703,81542,,2006,,45203,,,,,29640,,,,,23462,34043
NC0032,FORSYTH COUNTY PUBLIC LIBRARY,County,16.14753,58135.48992,113963,"$88,627.11 - $150,667.45 ",2020,118040,56120,47070,52193,51926,42952,37772,43102,44228,40601,40601,31061,38209
NC0033,FRANKLIN COUNTY LIBRARY,County,12.38142,58786.99667,88180,74148 - 114927,2001,65924,44245,53017,56840,53256,39322,,,,41611,35666,25816,
NC0105,GASTON COUNTY PUBLIC LIBRARY,County,15.34048,60747.24786,128700,"$90,772 - $145,236",2020,94559,63353,64570,71745,75933,,,58468,62373,66303,,23597,
NC0099,GEORGE H. AND LAURA E. BROWN PUBLIC LIBRARY,Municipal,40.44685,49143.42432,70283,"56,875 - 85,285",2016,0,0,41554,0,41554,41554,34186,0,0,0,0,10,0
NC0111,GIBSONVILLE PUBLIC LIBRARY,Municipal,18.1982,60332,61675.23," 53,242 - 81,131",2018,,,,,,,35679.51,,,,,4960.2,
NC0112,GIVENS MEMORIAL LIBRARY & TUFTS ARCHIVE,MUNICIPAL,18.40677,55447.33333,119855,,2004,,,,,,,,,,,,,
NC0034,GRANVILLE COUNTY LIBRARY SYSTEM,County,15.9893,64114.4918,73742,"$66,073- $105,717",2018,,65958,55311,55311,44385,46382,38895,,,38895,,38895,
NC0035,GREENSBORO PUBLIC LIBRARY,County,15.78652,67544.92537,147730,112365-187274,2012,114120,57024,62055,62000,62000,53361,0,51183,48104,57283,60225,38650,58605
NC0036,HALIFAX COUNTY LIBRARY SYSTEM,County,18.88109,56844.09091,60403,54033-87713,2019,0,36772,,,,,,,,,,28150,
NC0037,HARNETT COUNTY PUBLIC LIBRARY,County,11.55273,47898.33333,91019,"$76,971-$127,001",2016,73775,,46217,,53217,34747,,,50974,,,35302,
NC0102,HAROLD D. COOLEY LIBRARY,Municipal,42.16181,43917.27273,57000,,2022,0,,,,,,,,,,,,
NC0038,HAYWOOD COUNTY PUBLIC LIBRARY,County,20.30574,74647.47059,81539,,2018,66958,,,,,,,,,,,,
NC0039,HENDERSON COUNTY PUBLIC LIBRARY,County,23.98775,70095.39309,98482,"72,687 - 150,798",2015,56838,40009,49091,53821,61839,44728,,47176,52120,40413,,29777,
NC0079,HICKORY PUBLIC LIBRARY,Municipal,32.63715,51372.03571,94138,"75,734 - 136,323",2015,,,,,,,,,49978,,,36488,
NC0080,HIGH POINT PUBLIC LIBRARY,Municipal,35.50743,65364.46586,134499,90299-154816,2011,99786,0,60799,64237,71733,66892,0,41371,50315,0,0,34289,56555
NC0110,HOCUTT ELLINGTON MEMORIAL LIBRARY,Municipal,20.75387,62904.30108,71820,"$68,424 - $100,842",2017,-1,,51545,,64616,,,51545,,,,42853,
NC0040,IREDELL COUNTY LIBRARY,County,14.31656,62573.46939,79695,"$77,102 - $120,229",2018,61205,54406,57508,80072,47654,62903,39522,49384,,47654,,37516,
NC0100,JACOB MAUNEY MEMORIAL LIBRARY,Municipal,40.60867,56212.24242,59488,47627-67295,2021,,,,,,,40206,,,,,32010,
NC0042,LEE COUNTY LIBRARY,County,9.21145,59015.9,83284,"67,231 - 104,207",2017,0,,,,,,36548,36548,,44571,,33230,
NC0106,LINCOLN COUNTY PUBLIC LIBRARY,County,16.70335,54395.81818,99653,,2009,0,51792,49171,0,51646,0,0,0,0,0,0,33394,0
NC0043,MADISON COUNTY PUBLIC LIBRARY,County,19.56579,44497.1368,57500,,2020,0,28096,,,,,,23673,,23673,,10088,
NC0044,MCDOWELL COUNTY PUBLIC LIBRARY,County,13.20556,54389.86175,66696,53994-79356,2015,0,34902,,,,34092,26262,23778,21528,23778,,22647,
NC0083,MOORESVILLE PUBLIC LIBRARY,Municipal,35.35252,56069.9668,105790,"$75,171-$117,564",2016,77722,,55140,,61599,43795,45056,44228,49515,,,41154,
NC0011,NANTAHALA REGIONAL LIBRARY,Regional,15.96677,60490.73783,54075,42000-54075,2019,0,28681,43260,0,0,0,0,0,0,0,0,22569,0
NC0012,NEUSE REGIONAL LIBRARY,Regional,15.60596,42679.10981,99240,"86,000-110,000",2018,58440,34320,42000,46100,38520,39800,,30300,36440,,,,
NC0047,NEW HANOVER COUNTY PUBLIC LIBRARY,County,15.84644,74514.90798,139451,94699. - 160988.,2019,0,81040,77314,0,103773,60634,0,60679,55034,51581,0,39959,0
NC0013,NORTHWESTERN REGIONAL LIBRARY,Regional,11.25646,38440.8591,67121,,2017,47212,38391,,,,,30974,,,27907,,17585,
NC0048,ONSLOW COUNTY PUBLIC LIBRARY,County,7.59227,49778.79365,104242,,2016,0,48952,45703,60782,54471,45703,34825,36488,,39528,31208,30294,
NC0108,ORANGE COUNTY PUBLIC LIBRARY,County,20.73355,58531.80525,78246,"78,246-136,036",2022,94853,67533,64905,63067,63942,50894,0,56458,56361,55375,0,39225,55536
NC0049,PENDER COUNTY PUBLIC LIBRARY,County,11.97879,54746.00871,77719,"70,653-105,980",2021,0,53339,47963,,,43026,0,44183,43348,44857,,14,
NC0062,H. LESLIE PERRY MEMORIAL LIBRARY,County,15.04076,42384.86667,70861,"58,104-88,524",2014,49920,,43705,,,39496,36516,,,,,27591,49972
NC0109,PERSON COUNTY PUBLIC LIBRARY,County,10.92848,51310.58264,65405,"57,220 - 88,690",2020,44129,,,,,,30715,40655,,44870,,,
NC0014,PETTIGREW REGIONAL LIBRARY,Regional,19.33681,121890.30769,71616,,2013,0,44480,,,,,,,,,,25380,
NC0051,POLK COUNTY PUBLIC LIBRARIES,County,25.04136,45945.96623,63232,,2019,,36091,39742,,39742,33515,36150,,,,,20084,
NC0041,PUBLIC LIBRARY OF JOHNSTON COUNTY & SMITHFIELD,County,4.10145,41745.02564,72828,"66,999-94,000",2021,0,0,42660,48776,43180,33342,0,,,,,31262,58666
NC0052,RANDOLPH PUBLIC LIBRARY,County,18.227,55097.35306,83390,77462-119188,2011,69974,54612,54353,51212,51670,0,48736,50692,51180,0,0,35465,61030
NC0088,ROANOKE RAPIDS PUBLIC LIBRARY,Municipal,8.85732,44573,55000,"$46,961 - $69,663",2021,,,,,,,36878,,,,,30815,
NC0053,ROBESON COUNTY PUBLIC LIBRARY,County,8.05449,47076.11641,81681,59500-95200,2014,0,0,45000,45000,53424,0,30729,0,0,0,0,22494,0
NC0054,ROCKINGHAM COUNTY PUBLIC LIBRARY,County,14.91745,37686.50138,62908,"$62,908-$100,653",2022,0,58120,52716,52716,0,0,40305,52717,52717,0,0,33982,0
NC0055,ROWAN PUBLIC LIBRARY,County,15.61408,45526.63247,84800,"75,532 - 114,451",2019,53403,44438,43247,47038,47038,,38113,42500,43881,,,29746,
NC0056,RUTHERFORD COUNTY LIBRARY,County,9.45515,63425.46973,74029,,2015,0,43975,,,,,,38568,34988,43149,46150,31982,
NC0057,SAMPSON-CLINTON PUBLIC LIBRARY,County,9.7269,46939.65658,74976,"$68,700-106,488",2021,,46244,,,,,,38160,40968,,,28476,
NC0015,SANDHILL REGIONAL LIBRARY SYSTEM,Regional,8.92574,42314.01117,63648,,2012,,41170,,,,,,,,,,,
NC0058,SCOTLAND COUNTY MEMORIAL LIBRARY,County,10.42557,49584,66912,50964 - 73860,2008,0,0,0,0,0,0,33780,48408,0,0,0,30876,0
NC0050,SHEPPARD MEMORIAL LIBRARY,County,9.16835,50096.77209,122197,"$91,183 to $137,800",2010,,46829,54614,88206,88206,,,26546,55571,,,20610,59979
NC0093,SOUTHERN PINES PUBLIC LIBRARY,Municipal,43.00113,63550.09259,83980,65210-97815,2020,58229,,,,50041,,45389,,,,,41169,
NC0059,STANLY COUNTY PUBLIC LIBRARY,County,16.07909,71403.2601,76825,"63,332-95,002",2009,0,21673,52728,55130,50738,,48965,,,,,38042,0
NC0060,TRANSYLVANIA COUNTY LIBRARY,County,35.65484,64122.96496,83738,"67,281 - 104,285",2019,,,53689,75471,,62636,49850,47362,,,,41999,
NC0061,UNION COUNTY PUBLIC LIBRARY,County,17.3593,71981.70336,107274,"82,692-132,307",2013,89801,55549,73931,64337,62529,56691,47371,73391,64337,62529,56691,36373,57570
NC0063,WAKE COUNTY PUBLIC LIBRARIES,County,16.16348,73662.06337,144392,"$92,965 - $167,331",2010,125985,73077,70629,70629,79044,,,54825,54825,62400,,42750,72041
NC0101,WARREN COUNTY MEMORIAL LIBRARY,County,23.96849,53153.64706,74422,"57,499-89,123",-1,0,0,0,0,0,0,38351,0,0,0,0,32826,0
NC0065,WAYNE COUNTY PUBLIC LIBRARY,County,14.81619,50384.45087,91656,"60,608-94,526",2011,59933,42520,45677,49564,47165,53560,33290,,41092,,,23673,45860
NC0066,WILSON COUNTY PUBLIC LIBRARY,County,19.6589,47431.91738,90924,"$65,520 - $110,772",2017,63048,37205,56064,,52392,47988,,44352,48900,33096,29304,10095,
